Source,Post,Determine Course Interaction,Assess Time Commitment,Assess Overall Rating,Assess Difficulty,Assess GPA,Analyze Course Material,Determine Career Impact,Course Format (Exams vs projects ),
Slack,1,,3,,,,1,,,June 4th
Slack,2,,,,2,,,,1,
Slack,3,,1,,2,,1,,,
Slack,4,1,,,,,5,1,1,
Slack,5,,,,,,1,,,
Slack,6,3,1,,2,,,,,
Slack,7,2,,,,,,,,
Slack,8,,2,,1,,,,,
Slack,9,,2,,,,,,,
Slack,10,,2,,1,,1,,,
Slack,11,,,1,2,1,,,,
Slack,12,1,,,,,,,,
Slack,13,,1,4,1,,1,,,
Slack,14,1,1,,3,,,1,2,
Slack,15,,,,,,1,,,
Slack,16,1,1,,,,,,1,
Slack,17,,,,,,2,1,3,
Slack,18,,,,,,1,,,
Slack,19,2,1,,,,,,,
Slack,20,,1,,,,,,1,
Slack,21,,,1,1,1,,,,
Slack,22,,,,1,,,,,
Slack,23,,,,,,1,1,,
Slack,24,,,,,,1,,,
Slack,25,,1,,,,,,,
Slack,26,,,,,,3,,,
Slack,27,,,1,,,,,,
Slack,28,,,,,,,,1,
Slack,29,,,,1,,,,2,
Slack,30,,,1,1,,,,1,
Slack,31,1,,,,,1,,,
Slack,32,,,,,,3,,,
Slack,33,2,1,,,,,,,
Slack,34,,4,,1,,,,,
Slack,35,1,,2,,,1,,,
Slack,36,1,2,,,,,,,
Slack,37,,,3,,,1,2,,
Slack,38,5,2,,,,,,,
Slack,39,,3,,,,4,4,,
Slack,40,5,,,,,,,,
Slack,41,2,,,,,1,1,1,
Slack,42,,,,1,,,,3,
Slack,43,,,,,,2,,,
Slack,44,6,,,,,,,,
Slack,45,,,2,1,1,3,,,
Slack,46,,5,,,,,,,
Slack,47,,3,,1,,,,,
Slack,48,,,,,,5,,,
Slack,49,,,,,,,1,1,
Slack,50,,7,,3,,,2,,
Slack,51,4,4,,,,,,3,May 4th
Slack,52,,,,2,,,4,,
Slack,53,2,,,,,1,,,
Slack,54,1,,1,,,,,,
Slack,55,,,2,1,,,,1,
Slack,56,2,,,,,,,,
Slack,57,,,,,,6,2,,
Slack,58,,7,,2,,,,,
Slack,59,,,,1,,1,1,,
Slack,60,,,1,1,,1,,,
Slack,61,1,, ,,,2,,,
Slack,62,2,,,,,,,,
Slack,63,3,,,,,,,,
Slack,64,,,,,,,1,,
Slack,65,,,,,,1,2,,
Slack,66,,,,,,1,1,,
Slack,67,1,,,,,2,,1,
Slack,68,1,,,,,3,,,
Slack,69,,,,2,,,2,,
Slack,70,,,,,,4,,,
Slack,71,,,,,,3,,,
Slack,72,,,,,,2,1,4,
Slack,73,,3,,1,,1,,3,
Slack,74,,,1,,,,,,
Slack,75,,,,,,5,,,
Slack,76,,4,,2,,,,,
Slack,77,2,5,,,,,1,,
Slack,78,,,,,,1,,,
Slack,79,1,,,,,1,,,
Slack,80,5,3,,3,,,,2,
Slack,81,,3,,2,,,,2,
Slack,82,,3,,1,,1,,,
Slack,83,,2,,2,,,,,
Slack,84,,,,,,,2,,
Slack,85,7,,,,,2,,,
Slack,86,3,,,,,,,,
Slack,87,5,,,,,3,,,
Slack,88,3,,,,,1,,,
Slack,89,,,,2,,1,,3,
Slack,90,,,1,,,,1,2,
Slack,91,5,,,,,,,,
Slack,92,2,,,,,,,,
Slack,93,,1,2,,,3,,,
Slack,94,,,,,,,,1,
Slack,95,,1,1,2,,1,,,
Slack,96,,2,,,,1,,,
Slack,97,,2,,1,,,,,
Slack,98,,2,,2,,,,,
Slack,99,1,,,,,,,,
Slack,100,,1,,1,,,,,
r/omsa,1,,1,,2,,2,,3,
r/omsa,2,,1,,,,,,3,
r/omsa,3,3,,,,,,1,,
r/omsa,4,,,,,,2,,,
r/omsa,5,,,,1,,1,,6,
r/omsa,6,,4,,4,1,1,,1,
r/omsa,7,5,,,1,,3,,2,
r/omsa,8,,,,,,,6,,
r/omsa,9,,1,,1,,1,,1,
r/omsa,10,,1,3,2,,,,3,
r/omsa,11,1,,1,4,,,,,
r/omsa,12,3,1,1,1,,2,,,
r/omsa,13,2,1,,1,1,2,,1,
r/omsa,14,2,1,5,1,,,,,
r/omsa,15,,,,,,3,5,,
r/omsa,16,,,5,,,3,1,,
r/omsa,17,,,,,,3,,3,
r/omsa,18,,,1,1,,2,,4,
r/omsa,19,1,,1,1,,1,,,
r/omsa,20,,6,1,,,2,1,,
r/omscs,1,1,4,3,5,4,7,3,1,
r/omscs,2,,,,,,2,4,,
r/omscs,3,1,1,1,2,,,1,,
r/omscs,4,,,1,,,,,,
r/omscs,5,,,,,,,4,,
r/omscs,6,3,,1,,,5,,,
r/omscs,7,1,,1,,,1,,,
r/omscs,8,,,,,,2,3,,
r/omscs,9,,1,1,,,1,1,,
r/omscs,10,,,,,,7,,,
r/omscs,11,,,6,3,,,,3,
r/omscs,12,,5,4,5,,,,,
r/omscs,13,1,,2,,,1,,,
r/omscs,14,,,,2,,2,,5,
r/omscs,15,,,,2,,3,,,
r/omscs,16,1,,2,,,1,,,
r/omscs,17,1,,,,,1,1,1,
r/omscs,18,,1,1,1,,,,,
r/omscs,19,,3,,3,,,,2,
r/omscs,20,4,,2,1,1,,,1,
